origin,destination,count
102,105,4155653
105,104,5087309
105,105,13106458
101,104,883250
102,301,432170
106,103,1325371
106,106,3612874
102,106,1681438
104,107,1615201
107,107,4485480
312,312,11056
105,102,3885376
108,107,2459142
301,101,45468
107,108,2405378
301,104,54553
104,104,4210453
107,105,2523781
105,107,2537392
110,111,79006
106,108,2976035
107,102,442029
102,104,2376768
105,108,4701732
102,101,1719072
108,108,8859572
108,102,816192
102,103,1834843
108,402,115100
109,480,28349
106,308,21656
109,107,418258
106,105,5083063
105,480,766936
102,102,3665926
101,101,1432637
105,302,292471
102,405,16398
164,483,18273
480,108,319910
108,104,1087211
103,106,1361704
101,106,705360
106,101,768296
108,103,513860
105,103,1705269
483,105,552062
101,105,1739647
103,102,1590297
164,111,55851
105,106,4735351
108,106,2701674
105,314,25264
306,307,38219
103,108,598868
108,105,5083720
104,102,2286709
306,302,154873
105,112,157033
480,105,987848
103,105,1579464
111,105,186610
103,103,1437518
108,111,965400
106,107,733503
102,107,620209
111,108,488874
164,112,13468
301,301,679725
104,105,5433679
107,112,223039
101,107,227770
104,108,1308247
164,105,722348
105,306,182269
302,306,153490
164,108,652623
483,483,138171
104,110,154597
480,104,249328
106,111,196868
164,107,507477
111,112,22592
105,301,318879
480,302,107996
106,102,1560175
105,164,546076
105,205,9596
105,101,1901957
104,106,1579141
110,104,40948
109,164,40323
106,310,14311
101,103,726560
101,310,18138
301,309,13964
101,306,105686
106,104,1463891
483,108,173954
101,102,1547440
107,104,1435914
108,164,638358
111,480,30271
301,402,43711
301,302,142016
401,108,89697
301,306,80925
111,106,97275
104,111,148286
102,108,980899
107,101,234569
480,401,113812
104,101,967594
107,106,661468
355,306,3238
103,310,15112
302,317,4595
102,401,111729
305,103,72
483,313,8581
103,111,83451
108,112,101841
104,311,6508
480,107,228177
103,101,676874
106,164,164619
483,405,20686
101,110,20551
403,483,1579
104,302,144039
105,483,390679
483,107,143822
108,204,19092
103,107,263973
107,164,452679
105,401,342674
105,109,220064
480,211,5350
480,306,70538
111,107,198507
302,303,54984
483,103,88707
483,101,106583
306,308,42749
164,104,191870
483,401,62766
104,103,855486
164,164,197374
480,407,36767
105,111,328521
406,402,4422
109,106,39716
102,111,83995
480,102,180916
104,109,187634
101,401,35253
107,110,286646
108,101,485294
112,104,18392
101,108,419244
483,318,23687
410,105,3801
111,109,59137
401,401,397509
110,107,120265
108,302,77402
110,201,4564
107,109,603256
105,202,4498
102,302,310718
109,110,109244
301,401,47050
306,102,55001
306,306,163989
111,164,46310
111,104,69415
107,402,32660
109,108,146876
102,112,59055
103,104,826110
108,206,3876
111,111,305552
102,483,95223
302,105,125126
483,111,23188
106,306,76064
483,106,227471
301,102,125859
101,308,25459
302,302,266467
403,204,394
105,404,37130
402,107,16702
101,301,127727
106,405,23077
104,401,159638
301,103,210712
401,105,86202
109,102,36178
103,312,10506
302,106,79037
406,412,1322
480,480,59586
101,302,192844
107,111,347722
301,304,113662
108,110,177365
111,483,14854
202,209,201
103,401,109748
102,308,69115
110,105,68933
109,105,135365
112,107,30658
480,406,30794
104,301,176918
401,402,83788
403,301,2496
101,480,140814
105,208,25305
106,480,297214
108,401,179403
480,164,37050
301,303,110627
107,103,183025
302,101,110546
103,112,35059
108,355,2355
102,164,99327
306,301,65422
105,303,69832
402,402,210379
102,480,129592
164,109,39517
104,205,6720
480,308,26029
103,480,70204
164,110,33066
109,483,15925
106,112,56116
104,483,129351
480,101,202591
108,303,10483
109,109,210685
102,306,188678
306,101,50096
108,483,127468
480,106,395286
104,164,211787
483,402,49457
302,102,116699
309,111,75
480,403,43918
105,403,71983
105,310,33807
108,480,260590
402,401,94291
101,211,1406
103,404,13374
104,306,96585
111,208,2375
312,483,242
304,301,21474
111,110,101636
101,112,20761
483,102,141852
480,405,14730
306,314,11245
108,313,1424
107,302,32553
483,413,46071
402,207,393
103,301,512993
303,102,4547
103,483,53869
105,226,1059
107,306,24014
302,103,92120
480,103,109471
106,483,171622
107,480,163479
108,405,14828
402,104,26614
105,204,22845
103,307,35476
480,310,8098
480,408,22510
402,103,19276
102,109,79118
401,480,34550
106,209,6084
103,306,130084
483,412,62794
109,103,17530
301,405,28313
480,402,69144
480,204,6152
164,101,50259
104,480,194667
107,207,6361
412,104,3498
105,414,1408
104,403,31522
483,305,17655
106,301,153194
402,108,66531
110,106,22638
103,303,93626
401,107,22494
102,312,12322
109,104,105628
106,402,136725
402,105,82946
107,301,37491
105,110,203980
483,303,30146
401,403,37748
164,102,106446
483,301,104403
111,302,5000
102,402,70072
483,411,15087
105,408,21029
112,105,16526
107,483,93310
108,301,91683
109,111,85135
301,105,75381
412,105,10564
301,106,61753
105,206,6170
306,107,10581
106,401,201601
301,483,7822
403,403,33801
108,307,8580
306,483,7175
306,303,24677
104,303,41598
483,104,189776
104,112,157219
110,108,69021
112,112,46031
409,409,5159
483,355,4311
302,304,16722
483,307,17919
104,402,85608
102,303,81221
108,109,201045
480,109,41177
483,312,14318
483,410,33422
106,208,8680
312,106,735
106,302,132703
103,355,8871
109,208,5958
106,212,4019
107,404,5941
106,110,71197
103,407,5018
108,312,5346
306,105,55496
108,201,25145
480,110,38545
101,307,23552
101,483,70613
103,110,49339
102,310,22803
103,304,69576
301,314,8866
112,110,11330
483,309,19510
111,209,3817
103,402,65341
404,405,3041
109,210,492
302,301,138154
164,103,35075
483,110,21535
483,404,18767
480,411,12234
164,106,162905
302,104,55548
480,301,107304
101,502,1990
483,302,86007
110,110,106348
106,413,2800
106,303,25223
402,101,13860
102,309,26679
401,106,64401
106,227,496
104,208,17014
402,303,3232
401,102,19883
103,204,4593
110,109,74505
107,201,11044
103,302,217564
480,303,26129
402,483,12233
401,104,33744
109,101,16245
102,411,2228
106,109,66484
106,404,20926
483,306,65450
306,103,38928
103,109,46899
306,355,7977
110,480,15272
104,304,22880
106,355,4086
407,406,409
105,405,36447
104,201,9463
302,108,45531
110,102,15405
303,402,1058
104,211,4643
402,404,17581
401,301,25373
105,402,219198
101,403,11339
105,308,57130
105,207,11529
107,204,13561
103,403,20213
108,306,41243
401,203,473
102,406,17262
107,212,2280
108,406,22774
401,103,21115
403,404,7954
301,108,43670
404,103,1169
105,313,5670
112,108,14671
302,164,3140
109,112,64065
204,480,292
108,315,2724
355,302,3196
111,413,248
402,405,9435
302,111,5699
402,403,19665
106,406,34627
306,104,32413
105,409,13731
308,107,1163
483,164,23473
101,407,3852
105,309,23738
401,109,7708
104,405,15206
301,201,501
104,312,9252
107,208,24116
110,164,21875
308,317,1698
303,302,14553
482,409,46
103,317,5033
104,318,4200
103,211,2267
483,408,34044
480,111,42690
309,108,712
105,201,17416
106,403,36574
109,401,8070
402,112,2595
402,106,59177
308,102,5449
401,406,7681
102,110,69129
105,304,35196
101,405,7540
483,502,2392
103,311,4768
401,110,7166
111,404,2933
102,404,12020
105,406,59111
101,404,5218
111,403,5224
308,302,16675
110,402,2327
402,301,37698
103,405,19315
301,406,4616
302,307,25538
